,degree,video_id,duration,views,age,title,img,topic,subject
0,2,['EGVcmyrrbxU']," 4 minutes, 28 seconds",131 views,6 months ago,1.3 Network Representations and Topologies,https://i.ytimg.com/vi/EGVcmyrrbxU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9QWp0ZNtl70IZERD4CXyhqx4ujA,"Network Representations, Measures, and Metrics (II)",14.15[J] Networks
0,0,['q65DyK7RJLg']," 9 minutes, 18 seconds",3.5K views,4 years ago,Social and Economic Networks 1.1  Week 1 Introduction,https://i.ytimg.com/vi/q65DyK7RJLg/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvw6YHemmVHhak1LHbM4YfRciUtQ,"Introduction to Social, Economic, and Technological Networks",14.15[J] Networks
0,1,['EGVcmyrrbxU']," 4 minutes, 28 seconds",131 views,6 months ago,1.3 Network Representations and Topologies,https://i.ytimg.com/vi/EGVcmyrrbxU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9QWp0ZNtl70IZERD4CXyhqx4ujA,"Network Representations, Measures, and Metrics (I)",14.15[J] Networks
0,0,['Y87G0XABCIs']," 4 minutes, 5 seconds",3.2K views,4 years ago,Social and Economic Networks - Overview,https://i.ytimg.com/vi/Y87G0XABCIs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdrVKGXvuZ58Vq1xjueWYw_Y-0Lg,"Introduction to Social, Economic, and Technological Networks",14.15[J] Networks
0,1,['ZNX-a-5jGeM']," 10 minutes, 51 seconds",1M views,2 years ago,Math Antics - Intro to the Metric System,https://i.ytimg.com/vi/ZNX-a-5jGeM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXd_2QPguQ8TBSjvzTOyYYc0lAgA,"Network Representations, Measures, and Metrics (I)",14.15[J] Networks
0,2,['ZNX-a-5jGeM']," 10 minutes, 51 seconds",1M views,2 years ago,Math Antics - Intro to the Metric System,https://i.ytimg.com/vi/ZNX-a-5jGeM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXd_2QPguQ8TBSjvzTOyYYc0lAgA,"Network Representations, Measures, and Metrics (II)",14.15[J] Networks
0,0,['jT3LWRmsMD0'], 57 minutes,201 views,1 month ago,Social and Economic Networks: An Idiosyncratic Introduction,https://i.ytimg.com/vi/jT3LWRmsMD0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATpeEpvn385kSaWTiSEvoUK-YLOQ,"Introduction to Social, Economic, and Technological Networks",14.15[J] Networks
0,1,['IR4pk4IkshA']," 3 minutes, 55 seconds",49 views,5 years ago,Modeling neuronal networks for metric representation of space and spatial navigation,https://i.ytimg.com/vi/IR4pk4IkshA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDhbK8K3cnc1cZ5RW6o76pnjWRjdw,"Network Representations, Measures, and Metrics (I)",14.15[J] Networks
0,2,['Q4e1d4MR4II']," 2 minutes, 57 seconds",10K views,9 years ago,Routing Protocol Metrics,https://i.ytimg.com/vi/Q4e1d4MR4II/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8W12haD8WFjIl0nXe900PmI5elA,"Network Representations, Measures, and Metrics (II)",14.15[J] Networks
0,0,['vcDdv-EyTwg']," 1 hour, 3 minutes",1.6K views,6 months ago,Social Network Analysis. Lecture1. Introduction to network analysis,https://i.ytimg.com/vi/vcDdv-EyTwg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJad0Wa0UWbWQ3WaSFahEXAPw3iw,"Introduction to Social, Economic, and Technological Networks",14.15[J] Networks
