,degree,video_id,duration,views,age,title,img,topic,subject
0,0,['xZELQc11ACY']," 11 minutes, 49 seconds",573K views,3 years ago,"Intersection of Sets, Union of Sets and Venn Diagrams",https://i.ytimg.com/vi/xZELQc11ACY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-dYP07cV_tcG0cWpfDn82r5KKdA,Sets and events,14.30 Introduction to Statistical Methods in Economics
0,0,['jAfNg3ylZAI']," 7 minutes, 44 seconds",865K views,8 years ago,Intersection and union of sets | Probability and Statistics | Khan Academy,https://i.ytimg.com/vi/jAfNg3ylZAI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUeiI6ZkTg0IRH8VRGsA3tOGTQLg,Sets and events,14.30 Introduction to Statistical Methods in Economics
0,2,['pIfpHdGVwLU']," 4 minutes, 7 seconds",73K views,3 years ago,Conditional probability and independence | Probability | AP Statistics | Khan Academy,https://i.ytimg.com/vi/pIfpHdGVwLU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBKFPN6NdNQLOkEk4Qy22SBJcEYkg,Conditional probability and independence,14.30 Introduction to Statistical Methods in Economics
0,0,['B1v9OeCTlu0'], 15 minutes,125K views,3 years ago,"Basics of Probability: Unions, Intersections, and Complements",https://i.ytimg.com/vi/B1v9OeCTlu0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmYo6-3emnfdq5HNb144G1kzcyiQ,Sets and events,14.30 Introduction to Statistical Methods in Economics
0,2,['ibINrxJLvlM']," 6 minutes, 14 seconds",594K views,3 years ago,Intro to Conditional Probability,https://i.ytimg.com/vi/ibINrxJLvlM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBb70dEcA6mvrYRKt55YrPKLfj2Ew,Conditional probability and independence,14.30 Introduction to Statistical Methods in Economics
0,0,['f7agTv9nA5k']," 6 minutes, 59 seconds",30K views,9 months ago,Mutually Exclusive and Exhaustive Events (6.4),https://i.ytimg.com/vi/f7agTv9nA5k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_4W90zH2M4dy3GjgT-rhanOP97Q,Sets and events,14.30 Introduction to Statistical Methods in Economics
0,1,['ETpcuyFDBbI'], 17 minutes,12K views,3 years ago,Probability and Counting Rules - Combination Examples,https://i.ytimg.com/vi/ETpcuyFDBbI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6GgMRjPrlK4UioBwhQj1X1CduPg,Probabilities and counting rules,14.30 Introduction to Statistical Methods in Economics
0,2,['bgCMjHzXTXs']," 12 minutes, 1 second",155K views,3 years ago,An Introduction to Conditional Probability,https://i.ytimg.com/vi/bgCMjHzXTXs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDllcBeedH1QfPTNk-BIzbTKMpZg,Conditional probability and independence,14.30 Introduction to Statistical Methods in Economics
0,5,['3xAIWiTJCvE']," 11 minutes, 2 seconds",121K views,1 year ago,Cumulative Distribution Functions and Probability Density Functions,https://i.ytimg.com/vi/3xAIWiTJCvE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLaKJcSb5sO9K2Q9r0DIU5HLuH6w,"Probability distribution functions (PDFs), cumulative distribution functions (CDFs), joint distribution of 2 or more random variables",14.30 Introduction to Statistical Methods in Economics
0,0,['KzfWUEJjG18']," 11 minutes, 28 seconds",1.2M views,1 year ago,Math Antics - Basic Probability,https://i.ytimg.com/vi/KzfWUEJjG18/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSXvi6OlGwwVLrdwgWZtc1jZxStQ,Sets and events,14.30 Introduction to Statistical Methods in Economics
0,1,['nJ8eph5dydE']," 7 minutes, 26 seconds",14K views,7 years ago,Counting Rules for Probability,https://i.ytimg.com/vi/nJ8eph5dydE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByPV2UUoHPcpcjCscwpsq5URdJdQ,Probabilities and counting rules,14.30 Introduction to Statistical Methods in Economics
0,5,['YXLVjCKVP7U'], 16 minutes,194K views,1 year ago,"Probability Distribution Functions (PMF, PDF, CDF)",https://i.ytimg.com/vi/YXLVjCKVP7U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDiQJQkHsmGHbI0JZpbNEofhTdLWw,"Probability distribution functions (PDFs), cumulative distribution functions (CDFs), joint distribution of 2 or more random variables",14.30 Introduction to Statistical Methods in Economics
0,2,['DZ4hzCh_K9U']," 6 minutes, 39 seconds",630 views,10 months ago,Conditional Probability and Independence,https://i.ytimg.com/vi/DZ4hzCh_K9U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWGl4wrs-XaAH7t9FP3W0jxao73w,Conditional probability and independence,14.30 Introduction to Statistical Methods in Economics
0,0,['GVZUpOm3XUg']," 6 minutes, 26 seconds",280K views,8 years ago,Universal set and absolute complement | Probability and Statistics | Khan Academy,https://i.ytimg.com/vi/GVZUpOm3XUg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWc9iECAzWZ9jjaeWLJI3K0UKjXQ,Sets and events,14.30 Introduction to Statistical Methods in Economics
0,5,['AVVbUKstn8A']," 4 minutes, 16 seconds",9.3K views,2 years ago,L09.10 Joint CDFs,https://i.ytimg.com/vi/AVVbUKstn8A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7byDVCUZw6jcza87-4ZkYtEEKhg,"Probability distribution functions (PDFs), cumulative distribution functions (CDFs), joint distribution of 2 or more random variables",14.30 Introduction to Statistical Methods in Economics
0,0,['X6usGgwXFyU']," 11 minutes, 16 seconds",145K views,1 year ago,Probability of Mutually Exclusive Events With Venn Diagrams,https://i.ytimg.com/vi/X6usGgwXFyU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAGBoucQx8KJe6KUcAQ2PXV8rMfjQ,Sets and events,14.30 Introduction to Statistical Methods in Economics
0,2,['lWAdPyvm400']," 10 minutes, 11 seconds",128K views,1 year ago,Probability - Independent and Dependent Events,https://i.ytimg.com/vi/lWAdPyvm400/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNnf2tOgna7tdyb2_gxrItqcNwLg,Conditional probability and independence,14.30 Introduction to Statistical Methods in Economics
0,1,['XJnIdRXUi7A'], 17 minutes,750K views,4 years ago,Permutations and Combinations Tutorial,https://i.ytimg.com/vi/XJnIdRXUi7A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMvc06Idlu6jhGQy_mraECnB92xQ,Probabilities and counting rules,14.30 Introduction to Statistical Methods in Economics
0,5,['wQ6Q9W3Y1ZE']," 8 minutes, 44 seconds",402K views,7 years ago,Calculating a Cumulative Distribution Function (CDF),https://i.ytimg.com/vi/wQ6Q9W3Y1ZE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzau7C69QG29u0_IHgQyIZCcpq2w,"Probability distribution functions (PDFs), cumulative distribution functions (CDFs), joint distribution of 2 or more random variables",14.30 Introduction to Statistical Methods in Economics
0,2,['6xPkG2pA-TU']," 6 minutes, 43 seconds",745K views,6 years ago,Calculating conditional probability | Probability and Statistics | Khan Academy,,Conditional probability and independence,14.30 Introduction to Statistical Methods in Economics
0,1,['eOZ2GVciWHs']," 10 minutes, 16 seconds",1.7K views,4 years ago,Probability and Counting Rules,https://i.ytimg.com/vi/eOZ2GVciWHs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8x1w-Ukq_oNVm53LPGIXjd5coSQ,Probabilities and counting rules,14.30 Introduction to Statistical Methods in Economics
0,7,['RY63Nw0w33w']," 11 minutes, 13 seconds",769K views,15 hours ago,OnePlus 9 Review: Sneaky Value!,https://i.ytimg.com/vi/RY63Nw0w33w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPDEHgOnvs3xBPYy6bo0tfe-KsSw,Review,14.30 Introduction to Statistical Methods in Economics
