,degree,video_id,duration,views,age,title,img,topic,subject
0,7,['2Oa7mef77nM']," 4 minutes, 3 seconds",24K views,5 years ago,Network Clustering &amp; Connectedness,https://i.ytimg.com/vi/2Oa7mef77nM/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDb_QtJUIVwOjejgQi9bnJSm_oUBg,"Configuration model and small-world graphs

Conguration model, emergence of the giant component.
Small-world graphs: Denition from rewiring a regular graph, balance between clustering coefficient and network diameter.",14.32 Econometric Data Science 2
0,7,['gUwcaqn9PM8']," 8 minutes, 49 seconds",3.2K views,5 years ago,Clustering coefficient,https://i.ytimg.com/vi/gUwcaqn9PM8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxw2Tb5fdmx2LSAwk_ocoO843wuw,"Configuration model and small-world graphs

Conguration model, emergence of the giant component.
Small-world graphs: Denition from rewiring a regular graph, balance between clustering coefficient and network diameter.",14.32 Econometric Data Science 2
0,5,['ah9N5uzwoWo']," 2 hours, 13 minutes",275 views,1 year ago,Анализ сетевых структур - лекция 5,https://i.ytimg.com/vi/ah9N5uzwoWo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBy-0I0_Vt6TYON4eEymNsEmiuvAw,"Spectral graph theory, spectral clustering, and community detection

Properties of graph Laplacian.
Derive spectral clustering formulation as a relaxation of modularity maximization.
Community detection using ratio cut criterion. 

Homework 2 distributed during Lecture 6",14.32 Econometric Data Science 2
0,5,['Nq3QEVthB_Q']," 2 hours, 4 minutes",546 views,1 year ago,Анализ сетевых структур - лекция 3,https://i.ytimg.com/vi/Nq3QEVthB_Q/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTXEqa6DAT9bOymQNNLPIudgDvvQ,"Spectral graph theory, spectral clustering, and community detection

Properties of graph Laplacian.
Derive spectral clustering formulation as a relaxation of modularity maximization.
Community detection using ratio cut criterion. 

Homework 2 distributed during Lecture 6",14.32 Econometric Data Science 2
0,1,['LUDNz2bIjWI']," 9 minutes, 28 seconds",138K views,6 years ago,Graph Theory: 07 Adjacency Matrix and Incidence Matrix,https://i.ytimg.com/vi/LUDNz2bIjWI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmXhePFpeJ-944MsyU5VzObraHbg,"Introduction to graph theory

More on graph theory: Connectivity, components, giant components, distance, small-world phenomenon, adjacency and incidence matrices.",14.32 Econometric Data Science 2
0,1,['ONdaQOJK574']," 5 minutes, 27 seconds",3.5K views,2 years ago,Introduction to Graph Theory: Matrices in Graphs,https://i.ytimg.com/vi/ONdaQOJK574/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWXz_kLoQJQavl44T3Sz06_xuB1g,"Introduction to graph theory

More on graph theory: Connectivity, components, giant components, distance, small-world phenomenon, adjacency and incidence matrices.",14.32 Econometric Data Science 2
0,11,['Dd3xWUi7JlY'], 59 minutes,46K views,12 years ago,Lecture - 37 Object Representation and Description - I,https://i.ytimg.com/vi/Dd3xWUi7JlY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOzHjBME_ehXR_YJN6sxqI0WE4SA,"Information spread and distributed computation

Conductance and information spread.

Distributed computation.

Markov chain convergence and Cheeger's inequality.

Homework 6 distributed during Lecture 17",14.32 Econometric Data Science 2
0,2,['dybyvFHqD3Y']," 5 minutes, 33 seconds",83 views,9 months ago,"7 7 Weak Ties, Strong Ties, Strong Triadic Closure Property",https://i.ytimg.com/vi/dybyvFHqD3Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDO6zPQtLBmuFnXoBOsV9OQWv42pw,"Strong and weak ties, triadic closure, and homophily

Homework 1 distributed",14.32 Econometric Data Science 2
0,1,['FRZvgNvALJ4']," 6 minutes, 52 seconds",31K views,4 years ago,Lecture 30 — The Graph Laplacian Matrix (Advanced) | Stanford University,https://i.ytimg.com/vi/FRZvgNvALJ4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFIJzyMMSnwIDU-5jYgllzMA6z4w,"Introduction to graph theory

More on graph theory: Connectivity, components, giant components, distance, small-world phenomenon, adjacency and incidence matrices.",14.32 Econometric Data Science 2
0,11,['yDi2uX5tihc']," 10 minutes, 5 seconds",13K views,7 years ago,Clustering 9: image representation,https://i.ytimg.com/vi/yDi2uX5tihc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNo_ZoNxbB0_hKxWAvgDuUpGrsTw,"Information spread and distributed computation

Conductance and information spread.

Distributed computation.

Markov chain convergence and Cheeger's inequality.

Homework 6 distributed during Lecture 17",14.32 Econometric Data Science 2
0,2,['_kFj8rntd1c']," 8 minutes, 9 seconds",4.7K views,3 years ago,Quantifying the Effect of Triadic Closure,https://i.ytimg.com/vi/_kFj8rntd1c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRM0WeDeaLr-ggLTUi6VQ4hKzMvw,"Strong and weak ties, triadic closure, and homophily

Homework 1 distributed",14.32 Econometric Data Science 2
0,8,['lEXxDk1JLaw'], 15 minutes,12K views,3 years ago,Introduction to Powerlaw,https://i.ytimg.com/vi/lEXxDk1JLaw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBB11Ov_BTmJ2Tt9ZgeTopFq-P0aA,"Growing networks

Growing networks.
Preferential attachment and power laws: the rich get richer effect. Degree distribution observed in real life, example of a dynamic generative process leading to this distribution, mean field analysis.",14.32 Econometric Data Science 2
0,1,['BwdtxE9XK6g']," 8 minutes, 40 seconds",20K views,3 years ago,Section 3b Adjacency Matrix and Incidence Matrix,https://i.ytimg.com/vi/BwdtxE9XK6g/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnZ17WoEdi1UW_2LpZHaUrdb6KVg,"Introduction to graph theory

More on graph theory: Connectivity, components, giant components, distance, small-world phenomenon, adjacency and incidence matrices.",14.32 Econometric Data Science 2
0,2,['sRnd3sp0IUo']," 8 minutes, 35 seconds",9.4K views,7 years ago,INFO2040X mod1 kleinberg strong triadic closure v1,https://i.ytimg.com/vi/sRnd3sp0IUo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBVBpbHj0Dh9niwIaMQpYsf2nXgQ,"Strong and weak ties, triadic closure, and homophily

Homework 1 distributed",14.32 Econometric Data Science 2
0,11,['esmzYhuFnds'], 50 minutes,164K views,3 years ago,12. Clustering,https://i.ytimg.com/vi/esmzYhuFnds/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD-L8hhLJRDECqinGQLElTDDOXobg,"Information spread and distributed computation

Conductance and information spread.

Distributed computation.

Markov chain convergence and Cheeger's inequality.

Homework 6 distributed during Lecture 17",14.32 Econometric Data Science 2
0,8,['vPZh2Z5p2I0']," 10 minutes, 41 seconds",5.4K views,3 years ago,Implementing Rich-getting-richer Phenomenon (Barabasi-Albert Model)-1,https://i.ytimg.com/vi/vPZh2Z5p2I0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCn-_GBpc2lSMMilAdAF0-yr-UCiw,"Growing networks

Growing networks.
Preferential attachment and power laws: the rich get richer effect. Degree distribution observed in real life, example of a dynamic generative process leading to this distribution, mean field analysis.",14.32 Econometric Data Science 2
0,1,['ls8R0g9rWXs']," 12 minutes, 42 seconds",14K views,1 year ago,44.Matrix Representation of Graph- Incidence Matrix,https://i.ytimg.com/vi/ls8R0g9rWXs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvECxhBO5O8aJeWH9IMBYr30wBWQ,"Introduction to graph theory

More on graph theory: Connectivity, components, giant components, distance, small-world phenomenon, adjacency and incidence matrices.",14.32 Econometric Data Science 2
