,degree,video_id,duration,views,age,title,img,topic,subject
0,0,['MQXLpSl26q4']," 2 minutes, 58 seconds",141M views,3 years ago,"Jax Jones - Instruction ft. Demi Lovato, Stefflon Don",https://i.ytimg.com/vi/MQXLpSl26q4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyUFsJiUVCe32OScp0jOF9vnlJ4A,Introduction,15.0251 Game Theory for Strategic Advantage 1
0,0,['QgjkjsqAzvo'], 17 minutes,7.7M views,1 year ago,SELF INTRODUCTION | How to Introduce Yourself in English | Tell Me About Yourself Interview Answer,https://i.ytimg.com/vi/QgjkjsqAzvo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ59i0nK3q41hjAk96KhWqN8CQbg,Introduction,15.0251 Game Theory for Strategic Advantage 1
0,2,['0i7p9DNvtjk']," 6 minutes, 3 seconds",856K views,9 years ago,Game Theory 101: What Is a Nash Equilibrium? (Stoplight Game),https://i.ytimg.com/vi/0i7p9DNvtjk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaXuiSrOOIWSOXUAxId8P2vDPV7w,Nash Equilibrium,15.0251 Game Theory for Strategic Advantage 1
0,9,['jsGBuu88WE0']," 7 minutes, 50 seconds",1.6M views,6 years ago,Project Proposal Writing: How To Write A Winning Project Proposal,https://i.ytimg.com/vi/jsGBuu88WE0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCfULQUgzA2xUqLM0tbSPYH6BjOw,Team Presentations: Project Proposals,15.0251 Game Theory for Strategic Advantage 1
0,0,['4WDclqoGouY']," 2 minutes, 2 seconds",839K views,4 years ago,Learn to Write an Introduction Paragraph!,https://i.ytimg.com/vi/4WDclqoGouY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8VgXbAy7WqvprUyjgWOIMhvI6dw,Introduction,15.0251 Game Theory for Strategic Advantage 1
0,4,['9m5GA3wZK-E']," 6 minutes, 12 seconds",2.5K views,5 years ago,Robert Torrens on strategic trade policy,https://i.ytimg.com/vi/9m5GA3wZK-E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkCuPxmiQo8GqD91F2Z4nhW0WfjQ,Application: Strategic Trade Policy,15.0251 Game Theory for Strategic Advantage 1
0,2,['2d_dtTZQyUM']," 4 minutes, 24 seconds",2.2M views,13 years ago,Nash Equilibrium,https://i.ytimg.com/vi/2d_dtTZQyUM/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCTAOrzBZTJE0WZBWySOJGzjBB0g,Nash Equilibrium,15.0251 Game Theory for Strategic Advantage 1
0,0,['4bL1W3GR_QU'], 3 minutes,10M views,3 years ago,"Jax Jones - Instruction ft. Demi Lovato, Stefflon Don (Lyrics)",https://i.ytimg.com/vi/4bL1W3GR_QU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKYUf6t5OGME8Uvs_C4hi8S0MHKA,Introduction,15.0251 Game Theory for Strategic Advantage 1
0,9,['dJqLDEu2peg']," 4 minutes, 21 seconds",147K views,4 years ago,How to Present a Project Proposal - Project Management Training,https://i.ytimg.com/vi/dJqLDEu2peg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXuRzcuTLP4MqtubZJn_Gt9kdV2Q,Team Presentations: Project Proposals,15.0251 Game Theory for Strategic Advantage 1
0,2,['UkXI-zPcDIM']," 9 minutes, 21 seconds",978K views,9 years ago,Prisoners' dilemma and Nash equilibrium | Microeconomics | Khan Academy,https://i.ytimg.com/vi/UkXI-zPcDIM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBctZ_LCGacTXsl4MpRSRWrgKgfLw,Nash Equilibrium,15.0251 Game Theory for Strategic Advantage 1
0,4,['Ifde3VZKG8o']," 6 minutes, 12 seconds",1.2K views,5 years ago,Robert Torrens on Strategic Trade Policy,https://i.ytimg.com/vi/Ifde3VZKG8o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWwnyEqcGaA8xshupYDM34H1oF5w,Application: Strategic Trade Policy,15.0251 Game Theory for Strategic Advantage 1
0,9,['UpmSBTjblXs'], 15 minutes,78 views,3 months ago,Team Tech Capstone Project Proposal Presentation,https://i.ytimg.com/vi/UpmSBTjblXs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBw8ceLiQBXgzC2tvAbysoQI3IlEA,Team Presentations: Project Proposals,15.0251 Game Theory for Strategic Advantage 1
0,4,['z-Sr2g_xmyg']," 4 minutes, 17 seconds",4.1K views,4 years ago,Strategic Trade Act 2010,https://i.ytimg.com/vi/z-Sr2g_xmyg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjWHsGJhBDcvRc7rLRyEz_4LQYBg,Application: Strategic Trade Policy,15.0251 Game Theory for Strategic Advantage 1
0,5,['7iklM_djBeY']," 5 minutes, 37 seconds",479K views,6 years ago,Choices vs Consequences - What Player Decisions Mean in Games - Extra Credits,https://i.ytimg.com/vi/7iklM_djBeY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtButrTy1KrgkmbNE8X3_0KKo84w,Designing Games and Influencing Outcomes,15.0251 Game Theory for Strategic Advantage 1
0,2,['6rs_EQpxTI4']," 5 minutes, 14 seconds",290K views,6 years ago,Nash Equilibrium Examples,https://i.ytimg.com/vi/6rs_EQpxTI4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5jil1r5r74u2W8vXDHna4GmcJLA,Nash Equilibrium,15.0251 Game Theory for Strategic Advantage 1
