,degree,video_id,duration,views,age,title,img,topic,subject
0,9,['0oJsH1ykDBI']," 14 minutes, 47 seconds",6.7K views,1 year ago,Solving Game Problem by Linear Programming Method in English|Simplex Method for Finding value ofGame,https://i.ytimg.com/vi/0oJsH1ykDBI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnsFnSN6gmQcI6ak0eI4uZw22kBA,"Game theory 1: 2-person 0-sum, or constant sum

Quiz 3: The simplex method",15.053 Optimization Methods in Business Analytics
0,9,['lpKY85HCXmA']," 9 minutes, 34 seconds",23K views,3 years ago,Operations Research 12A: Zero-Sum Game &amp; Pure Strategy,https://i.ytimg.com/vi/lpKY85HCXmA/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8R1pgvosY1sm3Kojm01veCzdRSg,"Game theory 1: 2-person 0-sum, or constant sum

Quiz 3: The simplex method",15.053 Optimization Methods in Business Analytics
0,9,['fSuqTgnCVRg'], 21 minutes,892K views,3 years ago,Game theory #1||Pure &amp; Mixed Strategy||in Operations research||Solved problem||By:- Kauserwise,https://i.ytimg.com/vi/fSuqTgnCVRg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC5BKJjTC-46fIaF64l_7TdN07j1Q,"Game theory 1: 2-person 0-sum, or constant sum

Quiz 3: The simplex method",15.053 Optimization Methods in Business Analytics
0,9,['fwPxPPYjLkM'], 21 minutes,285 views,1 year ago,9 6 Game Theory and The Simplex Method,https://i.ytimg.com/vi/fwPxPPYjLkM/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8rDrhfiKDdUnGrfE7zj1uZf-7mg,"Game theory 1: 2-person 0-sum, or constant sum

Quiz 3: The simplex method",15.053 Optimization Methods in Business Analytics
0,1,['r0v7zv5JxvA'], 16 minutes,10K views,4 years ago,Non-Linear Programming,https://i.ytimg.com/vi/r0v7zv5JxvA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUZ6g7pWcQO3XUrOjtYXQUFCGJ_Q,Formulations of linear and non-linear programs,15.053 Optimization Methods in Business Analytics
0,4,['rzRZLGD_aeE']," 7 minutes, 44 seconds",219K views,5 years ago,"Simplex Method, Example 1",https://i.ytimg.com/vi/rzRZLGD_aeE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYKdqRu4HXK9flPlmNM6OzcBZD_Q,The simplex method 1,15.053 Optimization Methods in Business Analytics
0,1,['K7eHfL4dYN8'], 20 minutes,17K views,3 years ago,Overview of Nonlinear Programming,https://i.ytimg.com/vi/K7eHfL4dYN8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDprXfabLZDneVmN2w5Swxv9J3ojQ,Formulations of linear and non-linear programs,15.053 Optimization Methods in Business Analytics
0,9,['dC-WJG1WHco'], 21 minutes,1.7K views,10 months ago,Solving Game Problem by Linear Programming Method in English|Simplex method for finding value ofGame,https://i.ytimg.com/vi/dC-WJG1WHco/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHEHyOpWNubjexKSGS1jpGtYKZcg,"Game theory 1: 2-person 0-sum, or constant sum

Quiz 3: The simplex method",15.053 Optimization Methods in Business Analytics
0,2,['ur7BqQuLmZM'], 1 hour,257K views,1 year ago,Quran recitation 1 hour by hazza al Belushi,https://i.ytimg.com/vi/ur7BqQuLmZM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDh1ga9nNQyXwYyGEiTemRYjCMdRQ,Recitation 1,15.053 Optimization Methods in Business Analytics
0,9,['7Elk8stSfEg'], 22 minutes,697 views,10 months ago,Solving Game Problem by Linear Programming Method in English|Simplex method for finding value ofGame,https://i.ytimg.com/vi/7Elk8stSfEg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDL7ndPTfCQW52EeA6F0KeA-P4PAQ,"Game theory 1: 2-person 0-sum, or constant sum

Quiz 3: The simplex method",15.053 Optimization Methods in Business Analytics
