,degree,video_id,duration,views,age,title,img,topic,subject
0,2,['plDCgJC0jfI']," 6 minutes, 21 seconds",47K views,7 years ago,"Categorical Displays:  Bar Graph, Pareto Chart, Pie Chart, and Pictogram",https://i.ytimg.com/vi/plDCgJC0jfI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCerPJjhOLbKw4xjcMG0MtJJQCCFg,"Summarizing univariate data: numerically (sample mean, IQR, etc.) and by plotting (pie/bar/pareto chart for categorical data, histogram, box plot, normal plot)
Summarizing bivariate data: Simpson's paradox, scatter plot, sample correlation coefficient
Time series: MA, EWMA, forecast error and MAPE, auto-correlation coefficient",15.075[J] Statistical Thinking and Data Analysis
0,2,['Rx8wSEDq5Hs']," 7 minutes, 36 seconds",28K views,1 year ago,"Bar Chart, Pie Chart, Frequency Tables | Statistics Tutorial | MarinStatsLectures",https://i.ytimg.com/vi/Rx8wSEDq5Hs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwrjv9fm6D42r3QjoElb1Xph1lCw,"Summarizing univariate data: numerically (sample mean, IQR, etc.) and by plotting (pie/bar/pareto chart for categorical data, histogram, box plot, normal plot)
Summarizing bivariate data: Simpson's paradox, scatter plot, sample correlation coefficient
Time series: MA, EWMA, forecast error and MAPE, auto-correlation coefficient",15.075[J] Statistical Thinking and Data Analysis
0,2,['Pxqo3lmF01I']," 13 minutes, 38 seconds",10K views,3 years ago,Excel Histogram for numeric and categorical data,https://i.ytimg.com/vi/Pxqo3lmF01I/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXlCM_pVUzSAS3CLL40rA5DYP4hg,"Summarizing univariate data: numerically (sample mean, IQR, etc.) and by plotting (pie/bar/pareto chart for categorical data, histogram, box plot, normal plot)
Summarizing bivariate data: Simpson's paradox, scatter plot, sample correlation coefficient
Time series: MA, EWMA, forecast error and MAPE, auto-correlation coefficient",15.075[J] Statistical Thinking and Data Analysis
0,7,['hcUxFwUjCxM']," 8 minutes, 43 seconds",35K views,3 years ago,Confidence intervals for the difference between two proportions | AP Statistics | Khan Academy,https://i.ytimg.com/vi/hcUxFwUjCxM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNxtidPKx4RsLEirNN2nXKi5-bIw,"Comparison to a given proportion using large sample z-test, sample size calculation for confidence intervals
Comparison of two proportions using large sample z-test
Chi-square test (multinomial and goodness of fit)",15.075[J] Statistical Thinking and Data Analysis
0,2,['BGwU4sPG9p0']," 12 minutes, 49 seconds",18K views,6 years ago,Bivariate Analysis: Categorical and Numerical (ANOVA Test),https://i.ytimg.com/vi/BGwU4sPG9p0/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwHhLXIrrqLQq33lYsr4akkDPh0A,"Summarizing univariate data: numerically (sample mean, IQR, etc.) and by plotting (pie/bar/pareto chart for categorical data, histogram, box plot, normal plot)
Summarizing bivariate data: Simpson's paradox, scatter plot, sample correlation coefficient
Time series: MA, EWMA, forecast error and MAPE, auto-correlation coefficient",15.075[J] Statistical Thinking and Data Analysis
0,7,['_58qBy9Uxks']," 6 minutes, 2 seconds",57K views,4 years ago,Two proportions Z test,https://i.ytimg.com/vi/_58qBy9Uxks/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC90e6LVoaw-vY0fKLxW3sY6ei3wQ,"Comparison to a given proportion using large sample z-test, sample size calculation for confidence intervals
Comparison of two proportions using large sample z-test
Chi-square test (multinomial and goodness of fit)",15.075[J] Statistical Thinking and Data Analysis
0,2,['r5-qn8AAA-c']," 5 minutes, 57 seconds",256K views,7 years ago,SPSS - Summarizing Two Categorical Variables,https://i.ytimg.com/vi/r5-qn8AAA-c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAChk3oTG7wLHPAFwWwKbihLyN08w,"Summarizing univariate data: numerically (sample mean, IQR, etc.) and by plotting (pie/bar/pareto chart for categorical data, histogram, box plot, normal plot)
Summarizing bivariate data: Simpson's paradox, scatter plot, sample correlation coefficient
Time series: MA, EWMA, forecast error and MAPE, auto-correlation coefficient",15.075[J] Statistical Thinking and Data Analysis
0,7,['pCbNUnZ98oE']," 10 minutes, 35 seconds",32K views,1 year ago,Hypothesis Testing With Two Proportions,https://i.ytimg.com/vi/pCbNUnZ98oE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwFA9bVYcLonR-bAPkNYO5aL-Fiw,"Comparison to a given proportion using large sample z-test, sample size calculation for confidence intervals
Comparison of two proportions using large sample z-test
Chi-square test (multinomial and goodness of fit)",15.075[J] Statistical Thinking and Data Analysis
0,0,['gpRqVHg3P60']," 6 minutes, 51 seconds",220 views,1 month ago,"Chapter 2 Part 3 Variance , Standard Deviation , Bernoulli Distribution",https://i.ytimg.com/vi/gpRqVHg3P60/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpCP42aDAwoL3bVbZc_rdeXKHh4A,"Computing probabilities: conditional probabilities and Bayes' rule
Quantiles/percentiles, CDF's, mean, median, variance, standard deviation, covariance, various distributions and what they are used for (particularly Bernoulli, Binomial, Multinomial, Hypergeometric, Poisson, normal)",15.075[J] Statistical Thinking and Data Analysis
0,2,['4tMau-c3XXQ']," 3 minutes, 24 seconds",6.3K views,1 year ago,Stata Graphics 7: Two categorical variables with graph pie and graph bar (English version),https://i.ytimg.com/vi/4tMau-c3XXQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBC0g9nIWwsL0F9m64R3JhR9zE5lA,"Summarizing univariate data: numerically (sample mean, IQR, etc.) and by plotting (pie/bar/pareto chart for categorical data, histogram, box plot, normal plot)
Summarizing bivariate data: Simpson's paradox, scatter plot, sample correlation coefficient
Time series: MA, EWMA, forecast error and MAPE, auto-correlation coefficient",15.075[J] Statistical Thinking and Data Analysis
