,degree,video_id,duration,views,age,title,img,topic,subject
0,0,['j9WZyLZCBzs'], 51 minutes,907K views,8 years ago,1. Probability Models and Axioms,https://i.ytimg.com/vi/j9WZyLZCBzs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEe-GU-2SkvhnCFw_4dgFvLfEEfA,Probability models and axioms,15.0791 Introduction to Applied Probability
0,0,['EwVvlpKBMgk'], 27 minutes,1K views,6 months ago,Introduction and Overview: Probability Models and Axioms (Part 1 of 2),https://i.ytimg.com/vi/EwVvlpKBMgk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9lRae3lc8a-RBJyQUdI6vUSXLHQ,Probability models and axioms,15.0791 Introduction to Applied Probability
0,0,['pA83XtLeVig']," 8 minutes, 55 seconds",53K views,2 years ago,L01.4 Probability Axioms,https://i.ytimg.com/vi/pA83XtLeVig/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLWTnKM9qhwk6-RGxchqSBzWz_YQ,Probability models and axioms,15.0791 Introduction to Applied Probability
0,0,['xuv6BCR-iNc'], 18 minutes,56K views,6 years ago,[Discrete Mathematics] Axioms of Probability,https://i.ytimg.com/vi/xuv6BCR-iNc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCulmxOBVrYb_rSwwdDsoeg-41mEw,Probability models and axioms,15.0791 Introduction to Applied Probability
0,8,['CadZXGNauY0'], 50 minutes,81K views,8 years ago,9. Multiple Continuous Random Variables,https://i.ytimg.com/vi/CadZXGNauY0/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlJmzQtbtHt4AqCmpoQQIl1-8p0Q,Multiple continuous random variables,15.0791 Introduction to Applied Probability
0,0,['LXf1rGaY2gs']," 8 minutes, 8 seconds",No views,2 days ago,Probability Models and Axioms 480p,https://i.ytimg.com/vi/LXf1rGaY2gs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAN0R5x07t7XIfZHB0a44QNp7f82Q,Probability models and axioms,15.0791 Introduction to Applied Probability
0,8,['Om68Hkd7pfw']," 13 minutes, 13 seconds",168K views,5 years ago,Joint Probability Distributions for Continuous Random Variables - Worked Example,https://i.ytimg.com/vi/Om68Hkd7pfw/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCnPW2vAsjRy7yfRKnWn_lzxD_YAw,Multiple continuous random variables,15.0791 Introduction to Applied Probability
0,5,['E_49esz3jIQ']," 10 minutes, 47 seconds",719 views,7 months ago,PB41: Joint PMF/CDF for Discrete Random Variables,https://i.ytimg.com/vi/E_49esz3jIQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAmK-ZNWkmRk1u58d5UXgXCWMLMA,Discrete random variable examples; joint PMFs,15.0791 Introduction to Applied Probability
0,4,['3MOahpLxj6A'], 50 minutes,201K views,8 years ago,5. Discrete Random Variables I,https://i.ytimg.com/vi/3MOahpLxj6A/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRHzmWRkOyBNtgN0Do5P57D_IEVw,Discrete random variables; probability mass functions; expectations,15.0791 Introduction to Applied Probability
0,0,['R2j7pIg21jk']," 3 minutes, 9 seconds",92 views,7 years ago,Probability Models and Axioms Lec 1 Probability Theory   Introduction,https://i.ytimg.com/vi/R2j7pIg21jk/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoRVUYKKAHTl5GiuR1MZF6ppjKrA,Probability models and axioms,15.0791 Introduction to Applied Probability
