,degree,video_id,duration,views,age,title,img,topic,subject
0,2,['94AmzeR9n2w']," 10 minutes, 2 seconds",531K views,1 year ago,Multiplication &amp; Addition Rule - Probability - Mutually Exclusive &amp; Independent Events,https://i.ytimg.com/vi/94AmzeR9n2w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFhOAeMC6ZITSoV9NA4P8Syz1Dnw,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['Bbe5VxsFWBc']," 8 minutes, 28 seconds",34K views,6 years ago,Laws of Probability (Basics),https://i.ytimg.com/vi/Bbe5VxsFWBc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8P6WddVArcF4JQGUByWjjvEUEwA,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['aAcYjQImSg8']," 14 minutes, 4 seconds",123K views,8 years ago,Probability Laws and Definitions (Summary) : ExamSolutions,https://i.ytimg.com/vi/aAcYjQImSg8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIrsskxRHPX334yWlBvQ1CWVG0GA,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['y4Ne9DXk_Jc']," 10 minutes, 36 seconds",464K views,9 years ago,Probability in Genetics: Multiplication and Addition Rules,https://i.ytimg.com/vi/y4Ne9DXk_Jc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPXvI4Z95_PMi7m66N682GhmYX0w,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['F_5UROeeWSc']," 11 minutes, 39 seconds",102K views,6 years ago,Basic Probability Rules and Examples,https://i.ytimg.com/vi/F_5UROeeWSc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-FllpGGOinV3keS0RpI6sf_HERw,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['QE2uR6Z-NcU']," 10 minutes, 43 seconds",1.3M views,9 years ago,Addition rule for probability | Probability and Statistics | Khan Academy,https://i.ytimg.com/vi/QE2uR6Z-NcU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAtrZFbauGshLz2XE0DOACnlx-XTw,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['u_x8zQvWWLk'], 21 minutes,295K views,2 years ago,PROBABILITY ADDITION &amp; MULTIPLICATION RULE BASIC,https://i.ytimg.com/vi/u_x8zQvWWLk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDAnp_WwQtkJdFqhKSnxBmqP1Vag,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['7t9jyikrG7w']," 10 minutes, 22 seconds",54K views,1 year ago,The Law of Total Probability,https://i.ytimg.com/vi/7t9jyikrG7w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDztokpF5g0oUVGgLpkgpX6qDAnSQ,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['BQrQBnsKUOU']," 3 minutes, 12 seconds",38K views,1 year ago,The Multiplication Rule of Probability - Explained,https://i.ytimg.com/vi/BQrQBnsKUOU/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQO2zhS3Fti6AITgC_YnHm94nSsA,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['LBGbwQDhceg']," 7 minutes, 40 seconds",50K views,3 years ago,De Morgan's Laws (in a probability context),https://i.ytimg.com/vi/LBGbwQDhceg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGJC9jnQSdme7-uaMJ-vv6yAhOcA,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['ibINrxJLvlM']," 6 minutes, 14 seconds",594K views,3 years ago,Intro to Conditional Probability,https://i.ytimg.com/vi/ibINrxJLvlM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBb70dEcA6mvrYRKt55YrPKLfj2Ew,Laws of Probability,15.276 Communicating with Data (CI-M)
0,2,['XT7PfZHAA0w']," 7 minutes, 5 seconds",1.9K views,2 years ago,Learn how the laws of probability apply to sports betting,https://i.ytimg.com/vi/XT7PfZHAA0w/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuwYeaj1WciwQppDMa7OVfDh47oA,Laws of Probability,15.276 Communicating with Data (CI-M)
0,4,['OulDebHlSEI']," 3 minutes, 18 seconds",530K views,7 months ago,Tori Kelly - Value (Visualizer),https://i.ytimg.com/vi/OulDebHlSEI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLALacbfuSYIQgWyj5IvwXJFuGezTQ,Value,15.276 Communicating with Data (CI-M)
0,4,['ouSf2HlEMJk']," 2 minutes, 49 seconds",1.8M views,1 year ago,A$AP Ferg - Value (Official Audio),https://i.ytimg.com/vi/ouSf2HlEMJk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAefsYlP0BF-nPpFH831Rw0Lzk6WQ,Value,15.276 Communicating with Data (CI-M)
0,4,['RY63Nw0w33w']," 11 minutes, 13 seconds",769K views,15 hours ago,OnePlus 9 Review: Sneaky Value!,https://i.ytimg.com/vi/RY63Nw0w33w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPDEHgOnvs3xBPYy6bo0tfe-KsSw,Value,15.276 Communicating with Data (CI-M)
