,degree,video_id,duration,views,age,title,img,topic,subject
0,4,['3SzYWjLDCSY'], 17 minutes,26K views,2 years ago,Portfolio Theory: Calculating a Minimum Variance Two Asset Portfolio - Part 1,https://i.ytimg.com/vi/3SzYWjLDCSY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAADMYfk3fSlJ7nLwZ2bgwvJ7KR0g,"Portfolio Theory, Part 3: Multiple Risky Assets",15.417 Laboratory in Investments
0,3,['7gkQHSW3hkE']," 10 minutes, 55 seconds",104K views,2 years ago,Asset Allocation,https://i.ytimg.com/vi/7gkQHSW3hkE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCdLHpLxm3i8LTJ13Lv15j7XXE-Ew,"Portfolio Theory, Part 2: Skewness Preference and Dynamic Rebalancing",15.417 Laboratory in Investments
0,0,['MQXLpSl26q4']," 2 minutes, 58 seconds",141M views,3 years ago,"Jax Jones - Instruction ft. Demi Lovato, Stefflon Don",https://i.ytimg.com/vi/MQXLpSl26q4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyUFsJiUVCe32OScp0jOF9vnlJ4A,Introduction,15.417 Laboratory in Investments
0,4,['BEUxNMlyb_8']," 6 minutes, 45 seconds",2.4K views,4 years ago,Portfolio Theory - Part 3 (Diversification),https://i.ytimg.com/vi/BEUxNMlyb_8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC0Avtm0Lw4unt01TEsqsq2bk5NzQ,"Portfolio Theory, Part 3: Multiple Risky Assets",15.417 Laboratory in Investments
0,5,['BfJRrlSoo0o'], 16 minutes,2.5K views,4 years ago,Ch 07 CAPM and APT (Clip 01 CAPM Theory),https://i.ytimg.com/vi/BfJRrlSoo0o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDB1V6JksqYXjPqC6xSIxa8wI-EJg,"The CAPM and APT, Part 1: Theory",15.417 Laboratory in Investments
0,3,['YtrMGKLRtwA']," 3 minutes, 42 seconds",85K views,3 years ago,Modern Portfolio Theory - Explained in 4 Minutes,https://i.ytimg.com/vi/YtrMGKLRtwA/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCrAMn0UKPNCxo6RgQsfVDt4b4L-A,"Portfolio Theory, Part 2: Skewness Preference and Dynamic Rebalancing",15.417 Laboratory in Investments
0,0,['QgjkjsqAzvo'], 17 minutes,7.7M views,1 year ago,SELF INTRODUCTION | How to Introduce Yourself in English | Tell Me About Yourself Interview Answer,https://i.ytimg.com/vi/QgjkjsqAzvo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ59i0nK3q41hjAk96KhWqN8CQbg,Introduction,15.417 Laboratory in Investments
0,4,['dpB5fx5lbA8']," 14 minutes, 17 seconds",28K views,5 years ago,Portfolio of Two Risky Assets,https://i.ytimg.com/vi/dpB5fx5lbA8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkqKkaCKHlMDgbymZ6TZKFW8J9KQ,"Portfolio Theory, Part 3: Multiple Risky Assets",15.417 Laboratory in Investments
0,5,['FR3Fl-GUbqc'], 22 minutes,17K views,2 years ago,Arbitrage Pricing Theory and Multifactor Models of Risk and Return (FRM P1 – Book 1 – Chapter 12),https://i.ytimg.com/vi/FR3Fl-GUbqc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOpL-mbzBZ54TfrPpe6iNjrlzIdw,"The CAPM and APT, Part 1: Theory",15.417 Laboratory in Investments
0,6,['N8gtnbJuMoo']," 1 hour, 15 minutes",74K views,7 years ago,Ses 16: The CAPM and APT II,https://i.ytimg.com/vi/N8gtnbJuMoo/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4GpSB1QMrpyCxFFrPS4wczZJGfw,"The CAPM and APT, Part 2: Applications and Tests",15.417 Laboratory in Investments
