,degree,video_id,duration,views,age,title,img,topic,subject
0,1,['u-Kz29tnjFI']," 11 minutes, 28 seconds",69K views,6 years ago,"How to Analyze Transactions and Prepare Income Statement, Owner's Equity Statement and Balance Sheet",https://i.ytimg.com/vi/u-Kz29tnjFI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCK7I8WqWPXzUvPLYNS0mn2Bz8_Tg,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
0,1,['qYjNE1ZuOYc']," 14 minutes, 53 seconds",80K views,1 year ago,PROPERLY Record Debits and Credits with Examples (EASIEST Method),https://i.ytimg.com/vi/qYjNE1ZuOYc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_dmXHuV1qk136yyEchg2J9MAcvA,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
0,1,['hhKO6MRvk_c']," 5 minutes, 37 seconds",1.2M views,9 years ago,How To Do A Balance Sheet,https://i.ytimg.com/vi/hhKO6MRvk_c/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBlXoZxo2y_mHXHDNfjjCmkesDhrg,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
0,1,['plbo9VEwqnA']," 1 hour, 12 minutes",5.8K views,3 years ago,Topic 02 - Recording transactions,https://i.ytimg.com/vi/plbo9VEwqnA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_w-HnFIAAo3Mp4I-vFZhxoBsiSw,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
0,1,['fQ0P17eUR9M']," 12 minutes, 20 seconds",123K views,1 year ago,Basic Accounting - Financial Transaction Worksheet (Part 1),https://i.ytimg.com/vi/fQ0P17eUR9M/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtjKhxflXiXfZV0zrjgqu1bkFy5Q,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
0,1,['RacjcokhkS0'], 17 minutes,273K views,7 years ago,"T accounts, Trial Balance and Balance Sheet Tutorial",https://i.ytimg.com/vi/RacjcokhkS0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCdEl8QXJ4GcI4tmAbKJ93UEBfU_w,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
0,6,['816Q6pOaGv4']," 7 minutes, 54 seconds",14K views,1 year ago,Revenue recognition explained,https://i.ytimg.com/vi/816Q6pOaGv4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCv06rXGIH-7zWKvfJIcVmSPn_3eg,Revenue Recognition (cont.),15.501 Corporate Financial Accounting
0,1,['5iS1Nif6qVc'], 16 minutes,26K views,3 years ago,Accounting Process Step 1:  Transaction Analysis - WorldWide Webster,https://i.ytimg.com/vi/5iS1Nif6qVc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLASyefCu2DZhg-jplFSQHDs6sVJsw,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
0,6,['37PPccwsYJI']," 2 minutes, 48 seconds",75K views,2 years ago,Revenue Recognition Principle in TWO MINUTES!,https://i.ytimg.com/vi/37PPccwsYJI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjIzvz25FgOJ93MiBFT57zv0GbIw,Revenue Recognition (cont.),15.501 Corporate Financial Accounting
0,1,['UXtRoEO9zp0']," 11 minutes, 1 second",156K views,1 year ago,Balance Sheet Explained in Simple Terms - Accounting Balance Sheet Tutorial in Excel,https://i.ytimg.com/vi/UXtRoEO9zp0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFfq-xvl4mjFNA-UMXbV4GNgZHbg,The Balance Sheet and the Recording of Transactions,15.501 Corporate Financial Accounting
