,degree,video_id,duration,views,age,title,img,topic,subject
0,0,['p2J7wSuFRl8'], 46 minutes,1.5M views,12 years ago,1. Course introduction,https://i.ytimg.com/vi/p2J7wSuFRl8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkhygGLyaAULiR9scHv93nxUh91g,Course Introduction,15.7611 Introduction to Operations Management
0,1,['JKvlx1uqILc'], 21 minutes,4.5M views,1 year ago,MCDONALDS VS BURGER KING FOOD CHALLENGE,https://i.ytimg.com/vi/JKvlx1uqILc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7Lqj1heBm8kini8c72wr8PtKMOQ,Burger King and McDonald's,15.7611 Introduction to Operations Management
0,0,['qaHjl1KUjyI']," 9 minutes, 56 seconds",18K views,4 years ago,Course Introduction,https://i.ytimg.com/vi/qaHjl1KUjyI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcjHXr51tJ9Xc8JbpSxmeOzgdwiw,Course Introduction,15.7611 Introduction to Operations Management
0,2,['QMpkm4dAB4w']," 8 minutes, 32 seconds",147K views,1 year ago,What is Capacity? | Math | Grade-3 | Tutway |,https://i.ytimg.com/vi/QMpkm4dAB4w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBsxORur7FWEQeqoL9IAv1B2PeLdQ,Capacity,15.7611 Introduction to Operations Management
0,5,['OB6RDzqvNbk']," 10 minutes, 11 seconds",95K views,1 year ago,INVENTORY &amp; COST OF GOODS SOLD,https://i.ytimg.com/vi/OB6RDzqvNbk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCI31aBV3AENFbLOosma7-OuTOyng,Inventory,15.7611 Introduction to Operations Management
0,1,['6m-CAFKMssI']," 10 minutes, 8 seconds",7.5M views,3 years ago,McDonalds Drive Thru &amp; Burger King Funny Parody With Power Wheels Kids Toys,https://i.ytimg.com/vi/6m-CAFKMssI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrTwAJDGcSiSdpiPN7aXXvml4PlQ,Burger King and McDonald's,15.7611 Introduction to Operations Management
0,11,['_HwFsqY71i4']," 2 minutes, 43 seconds",1.5M views,7 months ago,Maluma - Quality (Audio),https://i.ytimg.com/vi/_HwFsqY71i4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5ECRZISuR8ISuO8i3XT_AO_JUAA,Quality,15.7611 Introduction to Operations Management
0,0,['EH6vE97qIP4']," 1 hour, 2 minutes",1.5M views,1 year ago,"1. Introduction for 15.S12 Blockchain and Money, Fall 2018",https://i.ytimg.com/vi/EH6vE97qIP4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkcPMsP1K_ZLp7aqnIrxzwgeVzBw,Course Introduction,15.7611 Introduction to Operations Management
0,3,['woBXdS--1M4']," 4 minutes, 43 seconds",1.4K views,4 years ago,National Cranberry : Cranberry Processing,https://i.ytimg.com/vi/woBXdS--1M4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnacvyDn7Lb8_97Zu32RqzgrME_w,National Cranberry,15.7611 Introduction to Operations Management
0,2,['E4UC_StFhAk']," 4 minutes, 52 seconds",2.6M views,8 years ago,UMIGO: A Cup Fills Up (CAPACITY),https://i.ytimg.com/vi/E4UC_StFhAk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC58IWUMUn0GpDDlPGomZtgMUpGGQ,Capacity,15.7611 Introduction to Operations Management
