,degree,video_id,duration,views,age,title,img,topic,subject
0,1,['lInyN-WD9u4']," 6 minutes, 28 seconds",87K views,5 years ago,PHILOSOPHY - Epistemology: Rationality [HD],https://i.ytimg.com/vi/lInyN-WD9u4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBESuVsEb1mhRFByrmw_2TKTrL0gw,Rationality,15.9001 Competitive Strategy
0,9,['jsGBuu88WE0']," 7 minutes, 50 seconds",1.6M views,6 years ago,Project Proposal Writing: How To Write A Winning Project Proposal,https://i.ytimg.com/vi/jsGBuu88WE0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCfULQUgzA2xUqLM0tbSPYH6BjOw,Team Presentations: Project Proposals,15.9001 Competitive Strategy
0,9,['dJqLDEu2peg']," 4 minutes, 21 seconds",147K views,4 years ago,How to Present a Project Proposal - Project Management Training,https://i.ytimg.com/vi/dJqLDEu2peg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXuRzcuTLP4MqtubZJn_Gt9kdV2Q,Team Presentations: Project Proposals,15.9001 Competitive Strategy
0,0,['MQXLpSl26q4']," 2 minutes, 58 seconds",141M views,3 years ago,"Jax Jones - Instruction ft. Demi Lovato, Stefflon Don",https://i.ytimg.com/vi/MQXLpSl26q4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyUFsJiUVCe32OScp0jOF9vnlJ4A,Introduction,15.9001 Competitive Strategy
0,4,['9m5GA3wZK-E']," 6 minutes, 12 seconds",2.5K views,5 years ago,Robert Torrens on strategic trade policy,https://i.ytimg.com/vi/9m5GA3wZK-E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkCuPxmiQo8GqD91F2Z4nhW0WfjQ,Application: Strategic Trade Policy,15.9001 Competitive Strategy
0,9,['uw6_WII9Kf8']," 7 minutes, 37 seconds",228 views,2 years ago,VIDEO - OVERVIEW OF TEAM PROJECT PROPOSAL + PRESENTATION   ONLINE,https://i.ytimg.com/vi/uw6_WII9Kf8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbDJkC0oXOnzJzzLmwoTMhV14gZQ,Team Presentations: Project Proposals,15.9001 Competitive Strategy
0,4,['Ifde3VZKG8o']," 6 minutes, 12 seconds",1.2K views,5 years ago,Robert Torrens on Strategic Trade Policy,https://i.ytimg.com/vi/Ifde3VZKG8o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWwnyEqcGaA8xshupYDM34H1oF5w,Application: Strategic Trade Policy,15.9001 Competitive Strategy
0,2,['0i7p9DNvtjk']," 6 minutes, 3 seconds",856K views,9 years ago,Game Theory 101: What Is a Nash Equilibrium? (Stoplight Game),https://i.ytimg.com/vi/0i7p9DNvtjk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaXuiSrOOIWSOXUAxId8P2vDPV7w,Nash Equilibrium,15.9001 Competitive Strategy
0,9,['UpmSBTjblXs'], 15 minutes,78 views,3 months ago,Team Tech Capstone Project Proposal Presentation,https://i.ytimg.com/vi/UpmSBTjblXs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBw8ceLiQBXgzC2tvAbysoQI3IlEA,Team Presentations: Project Proposals,15.9001 Competitive Strategy
0,0,['QgjkjsqAzvo'], 17 minutes,7.7M views,1 year ago,SELF INTRODUCTION | How to Introduce Yourself in English | Tell Me About Yourself Interview Answer,https://i.ytimg.com/vi/QgjkjsqAzvo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ59i0nK3q41hjAk96KhWqN8CQbg,Introduction,15.9001 Competitive Strategy
