,degree,video_id,duration,views,age,title,img,topic,subject
0,5,['pMFv6liWK4M'], 23 minutes,1.2M views,11 years ago,Linear subspaces | Vectors and spaces | Linear Algebra | Khan Academy,https://i.ytimg.com/vi/pMFv6liWK4M/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2j2O1RrwKfimf_J338a9_XqMBtw,Vector spaces and subspaces,18.06 Linear Algebra
0,6,['gyc98ynuygI']," 7 minutes, 53 seconds",59K views,7 years ago,Rank and Solving Ax=0,https://i.ytimg.com/vi/gyc98ynuygI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMfE9OBfd2Uf6VpCqWWJF6NDVCzg,The nullspace: Solving Ax = 0,18.06 Linear Algebra
0,5,['gwGHyBKN7ms']," 1 hour, 14 minutes",11K views,1 year ago,4.1 Vector Spaces and Subspaces,https://i.ytimg.com/vi/gwGHyBKN7ms/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZN6UmNORlWHgu1L-2sWYF0CABTA,Vector spaces and subspaces,18.06 Linear Algebra
0,0,['J7DzL2_Na80'], 39 minutes,586K views,1 year ago,1. The Geometry of Linear Equations,https://i.ytimg.com/vi/J7DzL2_Na80/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVcF2srXZTzM9eURUFHDCNk9FwIw,The geometry of linear equations,18.06 Linear Algebra
0,6,['4x3sa4wO6Ig'], 28 minutes,61 views,5 months ago,Find the nullspace. Solve Ax=0,https://i.ytimg.com/vi/4x3sa4wO6Ig/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAJ_eFe-Y4xprCr2snuRcq3SMOzA,The nullspace: Solving Ax = 0,18.06 Linear Algebra
0,0,['My5w4MXWBew'], 16 minutes,71K views,2 years ago,Geometry of Linear Algebra,https://i.ytimg.com/vi/My5w4MXWBew/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXG-Z6PJfz1OT6oamkU9ddveeEqA,The geometry of linear equations,18.06 Linear Algebra
0,6,['3cMyj8EKFGo']," 10 minutes, 4 seconds",27K views,2 years ago,Solving Ax=0,https://i.ytimg.com/vi/3cMyj8EKFGo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC34pcEmgVxrIy42jnOUdkPx-e4zw,The nullspace: Solving Ax = 0,18.06 Linear Algebra
0,5,['XDvSsDsLVLs']," 13 minutes, 3 seconds",325K views,4 years ago,VECTOR SPACES - LINEAR ALGEBRA,https://i.ytimg.com/vi/XDvSsDsLVLs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAw48GlTIGBxywhGcyTiAW9jv4-6A,Vector spaces and subspaces,18.06 Linear Algebra
0,8,['l69YjkuUym0']," 6 minutes, 15 seconds",430K views,7 years ago,"Row reduction, row-echelon form and reduced row-echelon form",https://i.ytimg.com/vi/l69YjkuUym0/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAB2LPQG6G_mrJoNBv3yahLIxOszQ,Row reduced echelon form,18.06 Linear Algebra
0,0,['wReUnzuueZE'], 28 minutes,909 views,9 months ago,3.4 - The Geometry of Linear Systems,https://i.ytimg.com/vi/wReUnzuueZE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVTS_GrUupxZSa4dgN6skT7zndWQ,The geometry of linear equations,18.06 Linear Algebra
0,6,['VqP2tREMvt0'], 43 minutes,488K views,11 years ago,"7. Solving Ax = 0: Pivot Variables, Special Solutions",https://i.ytimg.com/vi/VqP2tREMvt0/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAMuXq1TR7fr36Tn9rFlWnmh8gcxw,The nullspace: Solving Ax = 0,18.06 Linear Algebra
0,5,['ozwodzD5bJM']," 6 minutes, 58 seconds",499K views,4 years ago,What is a Vector Space?  (Abstract Algebra),https://i.ytimg.com/vi/ozwodzD5bJM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBsDICBOZ0r0Pwsypq9e5AYQpxbqw,Vector spaces and subspaces,18.06 Linear Algebra
0,8,['L0CmbneYETs'], 17 minutes,1.1M views,11 years ago,Matrices: Reduced row echelon form 1 | Vectors and spaces | Linear Algebra | Khan Academy,https://i.ytimg.com/vi/L0CmbneYETs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvTM7B2hrUwep6zIZxpgdLWZoOQg,Row reduced echelon form,18.06 Linear Algebra
0,6,['U95ggjTATNA']," 6 minutes, 35 seconds",77K views,2 years ago,Find the null space of a matrix,https://i.ytimg.com/vi/U95ggjTATNA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCfQ7N4flprvb-yCbzaJkklbY8RUQ,The nullspace: Solving Ax = 0,18.06 Linear Algebra
0,0,['aGwqRRQ_Yf4']," 7 minutes, 46 seconds",249 views,2 years ago,Geometry of Linear Systems: Ax,https://i.ytimg.com/vi/aGwqRRQ_Yf4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCdn-p9a9wSjdhpYWcd1-4bnG-umQ,The geometry of linear equations,18.06 Linear Algebra
0,5,['S8DQZjE4V8U']," 8 minutes, 46 seconds",35K views,2 years ago,Vector Subspaces,https://i.ytimg.com/vi/S8DQZjE4V8U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBuoUQ6DF0n7Nh73jKYnb806XoM3w,Vector spaces and subspaces,18.06 Linear Algebra
0,6,['sL3GwudvZGI'], 18 minutes,21K views,6 years ago,Solving homogeneous equations: Ax = 0; Putting answer in parametric vector form,https://i.ytimg.com/vi/sL3GwudvZGI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWEMpVTMhQPZMaVmXfzJDtuNkgWg,The nullspace: Solving Ax = 0,18.06 Linear Algebra
0,0,['1UcGObDUluM']," 1 hour, 8 minutes",13K views,10 years ago,The geometry of a system of linear equations | Wild Linear Algebra A 18 | NJ Wildberger,https://i.ytimg.com/vi/1UcGObDUluM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDY9B6Lt5Ol7FNbpOei409cIPGcWQ,The geometry of linear equations,18.06 Linear Algebra
0,8,['1rBU0yIyQQ8']," 8 minutes, 22 seconds",46K views,2 years ago,Reduced row echelon form | Lecture 11 | Matrix Algebra for Engineers,https://i.ytimg.com/vi/1rBU0yIyQQ8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4i29T8Fd0GkPky6rm1N-Arl952w,Row reduced echelon form,18.06 Linear Algebra
0,5,['Eawc_ZuQI_8']," 5 minutes, 58 seconds",221K views,6 years ago,How to Prove a Set is a Subspace of a Vector Space,https://i.ytimg.com/vi/Eawc_ZuQI_8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwdmcdriL1n-T_Y9II9rj8_vQbSA,Vector spaces and subspaces,18.06 Linear Algebra
0,6,['LBXvpAWys9E']," 7 minutes, 4 seconds",10K views,4 years ago,How to find describe all solutions of Ax=0 quick and easy  - Linear algebra explained right,https://i.ytimg.com/vi/LBXvpAWys9E/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDC_ElLKVA7kqlVuJAkcdAUpzVIYA,The nullspace: Solving Ax = 0,18.06 Linear Algebra
0,0,['Yvea4CfyqAg'], 29 minutes,47 views,1 month ago,The geometry of simultaneous linear equations in two variables | Unit 3 and 4 VCE Maths Methods,https://i.ytimg.com/vi/Yvea4CfyqAg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCL_hXxik1YUCwQiDahAEea8HAjrQ,The geometry of linear equations,18.06 Linear Algebra
0,2,['Fg7_mv3izR0'], 15 minutes,485K views,3 years ago,Inverse of a 3x3 Matrix,https://i.ytimg.com/vi/Fg7_mv3izR0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBKcFVS6QbsGx549FxJgBwkr6yvxw,Matrix operations and inverses,18.06 Linear Algebra
