,degree,video_id,duration,views,age,title,img,topic,subject
0,1,['z7OT2AfTcy4']," 4 minutes, 53 seconds",7.8K views,2 years ago,Combinatorics: Multinomial Coefficients,https://i.ytimg.com/vi/z7OT2AfTcy4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD-Yx_PhRKh4WTcKcnqUMBE2KjfGw,Multinomial coefficients and more counting,18.600 Probability and Random Variables
0,5,['ibINrxJLvlM']," 6 minutes, 14 seconds",594K views,3 years ago,Intro to Conditional Probability,https://i.ytimg.com/vi/ibINrxJLvlM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBb70dEcA6mvrYRKt55YrPKLfj2Ew,Conditional probabilities,18.600 Probability and Random Variables
0,9,['deIQeQzPK08']," 10 minutes, 24 seconds",96K views,10 months ago,How To Calculate Variance,https://i.ytimg.com/vi/deIQeQzPK08/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDopJmzc5U32hU9tc_SMNScahlLvQ,Variance,18.600 Probability and Random Variables
0,2,['SkidyDQuupA'], 16 minutes,494K views,2 years ago,"Introduction to Probability, Basic Overview - Sample Space, &amp; Tree Diagrams",https://i.ytimg.com/vi/SkidyDQuupA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQX6-tvPTt1B6AXgfNpuTz62e1LA,Sample spaces and set theory,18.600 Probability and Random Variables
0,5,['sqDVrXq_eh0'], 16 minutes,209K views,1 year ago,Conditional Probability With Venn Diagrams &amp; Contingency Tables,https://i.ytimg.com/vi/sqDVrXq_eh0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9qqgI1whWr1fqi5ata3QuQ2jkIA,Conditional probabilities,18.600 Probability and Random Variables
0,7,['dOr0NKyD31Q']," 11 minutes, 56 seconds",1.3M views,8 years ago,Discrete and continuous random variables | Probability and Statistics | Khan Academy,https://i.ytimg.com/vi/dOr0NKyD31Q/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeVGSHfjjj2nwVD3r6d8A8pU4shQ,Discrete random variables,18.600 Probability and Random Variables
0,1,['juGgfHsO-xM']," 7 minutes, 51 seconds",26K views,4 years ago,3.4.5 Multinomial Theorem: Video,https://i.ytimg.com/vi/juGgfHsO-xM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBC-azz5VZqyEyjARok2WyiEXligw,Multinomial coefficients and more counting,18.600 Probability and Random Variables
0,9,['wDAd_QHKoOg']," 10 minutes, 8 seconds",134K views,1 year ago,"Variance, Standard Deviation, Coefficient of Variation",https://i.ytimg.com/vi/wDAd_QHKoOg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVKbGVpWJ2koWr4Vc8cpykUbYn9g,Variance,18.600 Probability and Random Variables
0,0,['XJnIdRXUi7A'], 17 minutes,750K views,4 years ago,Permutations and Combinations Tutorial,https://i.ytimg.com/vi/XJnIdRXUi7A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMvc06Idlu6jhGQy_mraECnB92xQ,Permutations and combinations,18.600 Probability and Random Variables
0,2,['TBgCZjJ1Soc']," 10 minutes, 9 seconds",34K views,3 years ago,Probability Theory: Sample Space and Events - Part 1,https://i.ytimg.com/vi/TBgCZjJ1Soc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCnx8i0IqP743f64blmda_XT-3CuQ,Sample spaces and set theory,18.600 Probability and Random Variables
0,10,['yUDFir8oYl8']," 7 minutes, 31 seconds",51K views,3 years ago,Binomial variables | Random variables | AP Statistics | Khan Academy,https://i.ytimg.com/vi/yUDFir8oYl8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7NJctSH11icdfKZcsQwhslcFqWA,"Binomial random variables, repeated trials and the so-called modern portfolio theory",18.600 Probability and Random Variables
0,7,['a9vcTvaBqfs']," 9 minutes, 38 seconds",24K views,1 year ago,Discrete Random Variables (1 of 3: Expected value &amp; median),https://i.ytimg.com/vi/a9vcTvaBqfs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCAe3Ada79Qa7zZnx-LKRBDpRavQ,Discrete random variables,18.600 Probability and Random Variables
0,1,['rYtzhc2snj4']," 4 minutes, 3 seconds",13K views,10 years ago,"Multinomial Coefficient (Video Response, Math 3C)",https://i.ytimg.com/vi/rYtzhc2snj4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRznz8cg8QfX296-DctIB6BcGaLA,Multinomial coefficients and more counting,18.600 Probability and Random Variables
0,0,['DROZVHObeko']," 7 minutes, 34 seconds",990K views,6 years ago,Permutation formula | Probability and combinatorics | Probability and Statistics | Khan Academy,https://i.ytimg.com/vi/DROZVHObeko/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7gNiIx2DPmPCaku7KLxHflAr2mg,Permutations and combinations,18.600 Probability and Random Variables
0,2,['ynjHKBCiGXY']," 7 minutes, 50 seconds",32K views,1 year ago,"Probability, Sample Spaces, and the Complement Rule (6.1)",https://i.ytimg.com/vi/ynjHKBCiGXY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDojrEIXymFGySVmIDPXhfr4MHC9w,Sample spaces and set theory,18.600 Probability and Random Variables
0,9,['E4HAYd0QnRc']," 12 minutes, 34 seconds",1.7M views,10 years ago,"Range, variance and standard deviation as measures of dispersion | Khan Academy",https://i.ytimg.com/vi/E4HAYd0QnRc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBIDEAfecI7nu-97SF-GyAm_rdcHA,Variance,18.600 Probability and Random Variables
0,5,['bgCMjHzXTXs']," 12 minutes, 1 second",155K views,3 years ago,An Introduction to Conditional Probability,https://i.ytimg.com/vi/bgCMjHzXTXs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDllcBeedH1QfPTNk-BIzbTKMpZg,Conditional probabilities,18.600 Probability and Random Variables
