,degree,video_id,duration,views,age,title,img,topic,subject
0,2,['leXa7EKUPFk'], 49 minutes,244K views,7 years ago,3. Reasoning: Goal Trees and Rule-Based Expert Systems,https://i.ytimg.com/vi/leXa7EKUPFk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuQDV6wPfscBxJP4UDgUOHPEEVmQ,Reasoning: goal trees and rule-based expert systems,18.615 Introduction to Stochastic Processes
0,2,['iusTmgQyZ44'], 46 minutes,36K views,7 years ago,Mega-R1. Rule-Based Systems,https://i.ytimg.com/vi/iusTmgQyZ44/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJtcp8lPFyBCgL8dL_F_KASKsMZw,Reasoning: goal trees and rule-based expert systems,18.615 Introduction to Stochastic Processes
0,2,['e5R-CnyKB8I'], 22 minutes,1K views,4 months ago,Rule Based Expert Systems,https://i.ytimg.com/vi/e5R-CnyKB8I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJT8jCtxVIjmPOAgnly0x9PBzuiw,Reasoning: goal trees and rule-based expert systems,18.615 Introduction to Stochastic Processes
0,1,['PNKj529yY5c'], 45 minutes,387K views,7 years ago,2. Reasoning: Goal Trees and Problem Solving,https://i.ytimg.com/vi/PNKj529yY5c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeewkegDKm3CTGgwm80t3qgctupQ,Reasoning: goal trees and problem solving,18.615 Introduction to Stochastic Processes
0,2,['PNKj529yY5c'], 45 minutes,387K views,7 years ago,2. Reasoning: Goal Trees and Problem Solving,https://i.ytimg.com/vi/PNKj529yY5c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeewkegDKm3CTGgwm80t3qgctupQ,Reasoning: goal trees and rule-based expert systems,18.615 Introduction to Stochastic Processes
0,1,['leXa7EKUPFk'], 49 minutes,244K views,7 years ago,3. Reasoning: Goal Trees and Rule-Based Expert Systems,https://i.ytimg.com/vi/leXa7EKUPFk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuQDV6wPfscBxJP4UDgUOHPEEVmQ,Reasoning: goal trees and problem solving,18.615 Introduction to Stochastic Processes
0,10,['09mb78oiPkA'], 49 minutes,208K views,7 years ago,"10. Introduction to Learning, Nearest Neighbors",https://i.ytimg.com/vi/09mb78oiPkA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMDmMiXrcsl88-ILw5CBpyfL5fiQ,"Introduction to learning, nearest neighbors",18.615 Introduction to Stochastic Processes
0,2,['kmRLeI1P9zw']," 3 minutes, 11 seconds",17K views,3 years ago,What is RULE-BASED SYSTEM? What dos RULE-BASED SYSTEM mean? RULE-BASED SYSTEM meaning,https://i.ytimg.com/vi/kmRLeI1P9zw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAILb_QprrP4l3bz7jbXXUb_9bbtQ,Reasoning: goal trees and rule-based expert systems,18.615 Introduction to Stochastic Processes
0,1,['9BOQbvGFweM'], 45 minutes,44 views,5 years ago,2  Reasoning  Goal Trees and Problem Solving,https://i.ytimg.com/vi/9BOQbvGFweM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJU3sEHq0YNISbILySOtiiKh9DsA,Reasoning: goal trees and problem solving,18.615 Introduction to Stochastic Processes
0,10,['HVXime0nQeI']," 5 minutes, 30 seconds",188K views,3 years ago,"StatQuest: K-nearest neighbors, Clearly Explained",https://i.ytimg.com/vi/HVXime0nQeI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgUCx4XK00M1XTTMjwTJHXe92xPg,"Introduction to learning, nearest neighbors",18.615 Introduction to Stochastic Processes
