,degree,video_id,duration,views,age,title,img,topic,subject
0,3,['FrY6yMcNgDs'], 16 minutes,7.6K views,3 years ago,4.5 Nonlinear Integrate-and-Fire Model,https://i.ytimg.com/vi/FrY6yMcNgDs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIfzzkwOkPbNbE0WW06zcizMsBrQ,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['yG_WxNU0nOE']," 8 minutes, 32 seconds",3.8K views,3 years ago,5.5 Stochastic spike firing in integrate and fire models,https://i.ytimg.com/vi/yG_WxNU0nOE/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAS3mmjrwgPT7T1zy-f6BiGjIE5Xw,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['KXnHxZdn8NU']," 1 hour, 6 minutes",2.4K views,8 months ago,3: Resistor Capacitor Neuron Model - Intro to Neural Computation,https://i.ytimg.com/vi/KXnHxZdn8NU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrdpyo8mEZFAN6tkKYeccRaOx14Q,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['LBcr1CTJhAA'], 18 minutes,2.2K views,11 months ago,"Physiology lecture 28.  Membrane potentials part one, diffusion potential, Nernst potential.",https://i.ytimg.com/vi/LBcr1CTJhAA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyOTmD6fRNgZSrI94qtXXPm3oDvw,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['MplWXZTOk6o']," 4 minutes, 15 seconds",293K views,2 years ago,"Membrane Potential, Equilibrium Potential and Resting Potential, Animation",https://i.ytimg.com/vi/MplWXZTOk6o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBh0TyHDhuUlPVve5lS_0RxBb7FuA,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['ZVUWyDzmApg']," 10 minutes, 31 seconds",32K views,1 year ago,The Nernst Equation and Equilibrium Potentials in Physiology,https://i.ytimg.com/vi/ZVUWyDzmApg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMn6PPEUaKyWYQzM2mFN3vEBU2qg,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['rn-QNO09nsA']," 7 minutes, 23 seconds",14K views,7 years ago,A simple spiking neuron model: biological background,,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['OZG8M_ldA1M']," 11 minutes, 44 seconds",5M views,6 years ago,"The Nervous System, Part 2 - Action! Potential!: Crash Course A&amp;P #9",,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['EGFYS7PdIzA']," 4 minutes, 7 seconds",105K views,4 years ago,Electrophysiology: Nernst Equation,,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
0,3,['88tKZLGOr3M']," 1 hour, 14 minutes",5.3K views,8 months ago,4: Hodgkin-Huxley Model Part 1 - Intro to Neural Computation,https://i.ytimg.com/vi/88tKZLGOr3M/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPmD6MX0YrVlNTZWVKgX4IwTlBFg,Nernst Potential and Integrate and Fire Models​,9.40 Introduction to Neural Computation 1
