,degree,video_id,duration,views,age,title,img,topic,subject
0,1,['-RlLVQYhJt8'],"gy 6 years ago 5 minutes, 34 seconds",126K views,6 years ago,How to Teach an Inductive Learning Lesson,https://i.ytimg.com/vi/-RlLVQYhJt8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKqd6A3OO_uN_sYy1thURS33Yruw,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['yAjkQ1YqLEE']," 3 minutes, 34 seconds",295K views,1 year ago,Introduction to Inductive and Deductive Reasoning | Don't Memorise,https://i.ytimg.com/vi/yAjkQ1YqLEE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWjwgK7vh9ZphQjneOernnhMu7og,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['WYYe93__FpI']," 3 minutes, 46 seconds",14K views,6 years ago,Defining Inductive Learning - Georgia Tech - Machine Learning,https://i.ytimg.com/vi/WYYe93__FpI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdZ0VbVW5JP0hBnE3-KBtGncZQMA,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['-nn3XMoPC7s']," 4 minutes, 29 seconds",36K views,6 years ago,"Deduction, Induction, Abduction - Georgia Tech - KBAI: Part 5",https://i.ytimg.com/vi/-nn3XMoPC7s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZlgC2CQJYpRVjtLHMcgrI-KxeyA,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['UCjX0VQTbms']," 7 minutes, 2 seconds",18K views,1 year ago,Inductive learning  | Artificial intelligence | Lec-48 | Bhanu Priya,https://i.ytimg.com/vi/UCjX0VQTbms/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAl0L5DdiwJGUmubFXX9I1C18eesw,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['Sxh2hHRVhIY'], 21 minutes,47 views,7 hours ago,DEDUCTIVE AND INDUCTIVE METHODS OF REASONING,https://i.ytimg.com/vi/Sxh2hHRVhIY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD46Ylo7cK-1rB0cJmwcg3smknErQ,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['t6ob5suDCtA']," 14 minutes, 54 seconds",11K views,1 year ago,Machine Learning | Inductive Bias,,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['tHNVX3e9zd0'], 18 minutes,508K views,3 years ago,Mathematical Induction Practice Problems,,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['QlwkerwaV2E']," 4 minutes, 38 seconds",205K views,3 years ago,What is Inquiry-Based Learning?,,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
0,1,['IozaykN8Zuo']," 2 minutes, 12 seconds",3.4K views,1 year ago,Inductive and Deductive grammar teaching,https://i.ytimg.com/vi/IozaykN8Zuo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuJWMijG3ObfRlzQbdWpVrJKHHmg,Foundations of Inductive Learning,9.66[J] Computational Cognitive Science
