,degree,video_id,duration,views,age,title,img,topic,subject
0,2,['rfA0h9udl7E']," 10 minutes, 9 seconds",87K views,3 years ago,Strong Induction,https://i.ytimg.com/vi/rfA0h9udl7E/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDU4zOKK5JbXGMCF38kHyhEFjDg1Q,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['6O1s3_GsSHo'], 19 minutes,86K views,5 years ago,Strong Induction Examples,https://i.ytimg.com/vi/6O1s3_GsSHo/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCR5ho8HbvxVXBAJM3KihsvZpFfxQ,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['VB1b-FtUg3A'], 18 minutes,6.6K views,1 month ago,Strong induction.,https://i.ytimg.com/vi/VB1b-FtUg3A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfXXU02yV8OGuvJlIAhifco0VYqw,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['mZ8wcxnT9WQ']," 9 minutes, 39 seconds",44K views,2 years ago,Discrete Math 5.2.1 The Well Ordering Principle and Strong Induction,https://i.ytimg.com/vi/mZ8wcxnT9WQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkoqpwi_eg2Ph2sU_dTX-t6IZLsg,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['Cey_kU2UaXE']," 13 minutes, 29 seconds",34K views,10 months ago,Strong Induction Proof,https://i.ytimg.com/vi/Cey_kU2UaXE/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCx3z5Ie3bjjsNZ3k2WJSTOzYKaAA,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['TUueMeRooBk']," 10 minutes, 3 seconds",33K views,4 years ago,1.8.4 Strong Induction: Video,https://i.ytimg.com/vi/TUueMeRooBk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzSEIZayYrb1xCLppV310b6hY8nw,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['USOsVbEbOIg'], 28 minutes,404 views,4 months ago,Proof by Strong Induction (full lecture),,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['ML-g2xLYruE']," 7 minutes, 49 seconds",95K views,8 years ago,Intro to Strong Induction.mp4,,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['CyVyq28i7B8']," 6 minutes, 2 seconds",1.5K views,2 years ago,Introduction to Strong Induction,,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['oPwJ5Oz8w7k']," 7 minutes, 3 seconds",804 views,7 months ago,Strong induction definition,https://i.ytimg.com/vi/oPwJ5Oz8w7k/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD69vZjQLl4xS_hcjk_xpPzwoF1bA,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['j_QILnBPUWc'], 6 minutes,12K views,5 years ago,Strong Induction,https://i.ytimg.com/vi/j_QILnBPUWc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0v90av4N_WD6zvgXaF8IcLKcUag,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
0,2,['Ixtq64cUEHI']," 3 minutes, 32 seconds",6.2K views,2 years ago,Concept Review: Weak vs. Strong Induction,https://i.ytimg.com/vi/Ixtq64cUEHI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAutRc84PkwfW6Raa0lQQqXtzn2tw,Strong induction,"IDS.012[J] Statistics, Computation and Applications"
